"participant_id","sso_how_secure","sso_how_data_used","sso_whether_delete","sso_whether_tell_change","sso_who_else","sso_how_often_review","app_how_secure","app_how_data_used","app_whether_delete","app_whether_tell_change","app_who_else","app_what_part_access","app_how_often_review","keep_choice_newest_app","recall_newest_app","last_use_newest_app","aware_prior_newest_app","access_beneficial_newest_app","access_concerned_newest_app","access_change_newest_app","keep_choice_random_app","recall_random_app","last_use_random_app","aware_prior_random_app","access_beneficial_random_app","access_concerned_random_app","access_change_random_app","keep_choice_oldest_app","recall_oldest_app","last_use_oldest_app","aware_prior_oldest_app","access_beneficial_oldest_app","access_concerned_oldest_app","access_change_oldest_app","rfl_understand_link","rfl_understand_access","rfl_change_settings","rfl_six_month_review","fut_remind","fut_reapprove","fut_approve_every","fut_block_data","app_install_count","app_keep_count","app_remove_count","permission_count","permission_not_necessary_count","permission_slightly_necessary_count","permission_moderately_necessary_count","permission_necessary_count","permission_very_necessary_count","permission_low_necessary_count","permission_high_necessary_count","permission_not_concerned_count","permission_slightly_concerned_count","permission_moderately_concerned_count","permission_concerned_count","permission_very_concerned_count","permission_low_concerned_count","permission_high_concerned_count","permission_not_confident_count","permission_slightly_confident_count","permission_moderately_confident_count","permission_confident_count","permission_very_confident_count","permission_low_confident_count","permission_high_confident_count","distinct_permission_count","distinct_permission_category_count"
"227","Neither agree nor disagree","Agree","Agree","Neither agree nor disagree","Neither agree nor disagree","Rarely","Neither agree nor disagree","Neither agree nor disagree","Disagree","Disagree","Disagree","Neither agree nor disagree","Rarely","Keep","Yes","In the previous month","Yes","Strongly agree","Strongly disagree","Strongly disagree",,,,,,,,"Keep","Yes","In the previous year","Yes","Agree","Strongly disagree","Strongly disagree","Strongly agree","Strongly agree","No","Yes","Once a month","Once a month","Disagree","Agree","2","2","0","9","0","2","4","3","0","2","3","4","5","0","0","0","9","0","0","0","3","4","2","0","6","7","5"
"190","Agree","Neither agree nor disagree","Neither agree nor disagree","Agree","Agree","Weekly","Agree","Agree","Neither agree nor disagree","Neither agree nor disagree","Disagree","Neither agree nor disagree","Daily","Remove","No","Today","No","Disagree","Strongly disagree","Disagree",,,,,,,,"Remove","Yes","Today","No","Disagree","Disagree","Strongly disagree","Neither agree nor disagree","Disagree","No","Yes","Once a year","Once a year","Neither agree nor disagree","Agree","2","0","2","5","0","1","3","1","0","1","1","0","0","2","3","0","0","3","1","2","2","0","0","3","0","5","3"
"224","Agree","Agree","Agree","Agree","Agree","Rarely","Agree","Agree","Agree","Agree","Agree","Agree","Rarely","Keep","Yes","In the previous month","Yes","Agree","Disagree","Disagree","Remove","Yes","In the previous year","Yes","Disagree","Agree","Agree","Keep","Yes","More than a year ago","Yes","Agree","Disagree","Disagree","Agree","Agree","Yes","Yes","Once a year","Once a year","Disagree","Strongly agree","5","4","1","6","0","1","1","2","2","1","4","3","2","0","1","0","5","1","0","0","0","0","6","0","6","6","3"
"221","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Rarely",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Strongly agree","Strongly agree","Unsure","Yes","Once a month","Once a year","Disagree","Agree","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"189","Agree","Agree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Never","Agree","Agree","Agree","Agree","Neither agree nor disagree","Neither agree nor disagree","Never","Keep","Yes","In the previous year","Yes","Agree","Disagree","Disagree","Remove","Yes","In the previous year","Yes","Neither agree nor disagree","Disagree","Neither agree nor disagree","Remove","Yes","Today","Unsure","Strongly agree","Strongly agree","Neither agree nor disagree","Strongly agree","Strongly agree","Yes","Yes","Once a month","Once a month","Agree","Strongly agree","6","3","3","12","0","3","7","2","0","3","2","4","5","3","0","0","9","0","1","1","2","8","0","2","8","8","5"
"208","Agree","Agree","Agree","Agree","Agree","Rarely","Agree","Agree","Agree","Agree","Agree","Agree","Rarely","Keep","No","Unsure","No","Neither agree nor disagree","Disagree","Disagree","Keep","Yes","Today","Unsure","Agree","Disagree","Disagree","Keep","Yes","Today","Yes","Strongly agree","Disagree","Disagree","Agree","Agree","Yes","No","Once a year","Once a month","Agree","Agree","5","4","1","9","0","1","2","3","3","1","6","8","1","0","0","0","9","0","0","0","2","7","0","0","7","8","4"
"181",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Strongly agree","Strongly agree","No","Yes","Once a year","Once a year","Strongly disagree","Strongly agree","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"200","Strongly agree","Agree","Disagree","Disagree","Disagree","Rarely","Strongly agree","Strongly agree","Agree","Neither agree nor disagree","Disagree","Disagree","Rarely",,,,,,,,,,,,,,,"Keep","Yes","In the previous week","No","Agree","Disagree","Neither agree nor disagree","Agree","Agree","Yes","Yes","Once a month","Once a year","Disagree","Agree","1","1","0","4","1","0","1","0","2","1","2","2","0","2","0","0","2","0","0","1","1","2","0","1","2","4","2"
"166","Agree","Agree","Neither agree nor disagree","Neither agree nor disagree","Strongly agree","Rarely","Agree","Agree","Neither agree nor disagree","Neither agree nor disagree","Agree","Agree","Rarely","Unsure","Yes","In the previous week","Unsure","Neither agree nor disagree","Disagree","Agree","Unsure","Yes","Today","Yes","Agree","Neither agree nor disagree","Disagree","Keep","Yes","Today","Yes","Strongly agree","Disagree","Neither agree nor disagree","Agree","Agree","No","No","Once a year","Once a year","Agree","Neither agree nor disagree","4","2","0","9","1","2","3","3","0","3","3","0","5","2","1","1","5","2","1","2","4","1","1","3","2","8","5"
"119","Disagree","Agree","Agree","Disagree","Agree","Rarely","Agree","Agree","Agree","Agree","Agree","Agree","Rarely","Keep","Yes","In the previous week","Yes","Agree","Disagree","Neither agree nor disagree","Unsure","No","Unsure","No","Disagree","Disagree","Disagree","Remove","Yes","More than a year ago","Yes","Disagree","Disagree","Neither agree nor disagree","Strongly agree","Strongly agree","Yes","Yes","Once a month","Once a year","Strongly agree","Strongly agree","5","2","1","9","3","2","2","2","0","5","2","3","2","1","2","1","5","3","4","4","1","0","0","8","0","5","4"
