Response ID,google_recall_sso_no_consider,Code 1,Code 2,Code 3,Code 4,Code 5,Code 6,Code 7,Code 8
310,"Privacy - Whether my real name was displayed if I used it. I also don't need my email address floating around, so I would likely not do this.",,,,,,,,
311,,,,,,,,,
312,,,,,,,,,
313,,,,,,,,,
314,,,,,,,,,
315,,,,,,,,,
317,,,,,,,,,
318,,,,,,,,,
319,,,,,,,,,
321,,,,,,,,,
322,,,,,,,,,
323,,,,,,,,,
325,,,,,,,,,
326,,,,,,,,,
327,,,,,,,,,
328,,,,,,,,,
329,,,,,,,,,
330,I would probably not be interested. It would need to be an app or service that has no personal information and is not something important to me. A game app is something I might do this for.,,,,,,,,
331,,,,,,,,,
332,,,,,,,,,
333,,,,,,,,,
335,,,,,,,,,
336,,,,,,,,,
337,,,,,,,,,
338,,,,,,,,,
339,,,,,,,,,
340,,,,,,,,,
341,,,,,,,,,
342,,,,,,,,,
345,,,,,,,,,
347,what information is being shared,,,,,,,,
349,,,,,,,,,
351,,,,,,,,,
352,,,,,,,,,
354,,,,,,,,,
355,,,,,,,,,
357,,,,,,,,,
358,,,,,,,,,
360,,,,,,,,,
361,,,,,,,,,
362,privacy,,,,,,,,
363,,,,,,,,,
364,,,,,,,,,
365,,,,,,,,,
366,How it allows google to track me on the other apps. I usually don't use this option to access these other services.,,,,,,,,
367,,,,,,,,,
368,,,,,,,,,
372,,,,,,,,,
373,,,,,,,,,
374,I would usually use Facebook first.,,,,,,,,
376,,,,,,,,,
377,,,,,,,,,
379,,,,,,,,,
381,,,,,,,,,
382,,,,,,,,,
383,,,,,,,,,
384,,,,,,,,,
385,,,,,,,,,
386,,,,,,,,,
387,,,,,,,,,
388,,,,,,,,,
389,,,,,,,,,
391,,,,,,,,,
392,I would consider the site and if I trust it.,,,,,,,,
393,,,,,,,,,
394,,,,,,,,,
395,,,,,,,,,
396,,,,,,,,,
397,,,,,,,,,
398,That they have access to my gmail and other google account information.,,,,,,,,
399,,,,,,,,,
400,,,,,,,,,
401,,,,,,,,,
402,,,,,,,,,
403,I only have one account that I use my Google sign in and that is a second ebay account. Otherwise I never ever use my Google log in to sign into accounts. I don't think Google needs to know where I am at all times.,,,,,,,,
404,,,,,,,,,
405,,,,,,,,,
406,,,,,,,,,
407,,,,,,,,,
408,Trust in the app,,,,,,,,
410,,,,,,,,,
411,,,,,,,,,
413,If it were safe.,,,,,,,,
415,,,,,,,,,
416,,,,,,,,,
417,,,,,,,,,
418,,,,,,,,,
419,,,,,,,,,
420,,,,,,,,,
422,,,,,,,,,
423,if it was safe or not,,,,,,,,
425,,,,,,,,,
426,,,,,,,,,
427,,,,,,,,,
428,no,,,,,,,,
431,,,,,,,,,
432,"I would ignore it and refuse to use that option. I do not wish to be spammed or have that address sold on or given to other parties. I would merely enter a different, non-Gmail email address that I've set up solely for these types of situations.",,,,,,,,
433,,,,,,,,,
434,,,,,,,,,
435,,,,,,,,,
436,,,,,,,,,
437,,,,,,,,,
439,,,,,,,,,
440,,,,,,,,,
442,,,,,,,,,
443,,,,,,,,,
444,,,,,,,,,
445,,,,,,,,,
449,,,,,,,,,
450,,,,,,,,,
451,,,,,,,,,
454,,,,,,,,,
455,,,,,,,,,
456,,,,,,,,,
458,I would want to know it is secure and would want to know what else would come out of this partnership like email newsletters and the like. I do not always want messages sent to my Gmail,,,,,,,,
459,,,,,,,,,
461,,,,,,,,,
462,,,,,,,,,
463,,,,,,,,,
464,,,,,,,,,
465,,,,,,,,,
466,,,,,,,,,
468,,,,,,,,,
469,,,,,,,,,
470,,,,,,,,,
471,,,,,,,,,
474,,,,,,,,,
475,,,,,,,,,
476,,,,,,,,,
477,,,,,,,,,
479,,,,,,,,,
480,,,,,,,,,
483,,,,,,,,,
484,,,,,,,,,
485,,,,,,,,,
486,,,,,,,,,
487,,,,,,,,,
488,,,,,,,,,
489,,,,,,,,,
490,,,,,,,,,
491,,,,,,,,,
493,,,,,,,,,
496,,,,,,,,,
497,,,,,,,,,
498,,,,,,,,,
499,,,,,,,,,
501,,,,,,,,,
502,"If they sell or spread my information, especially my email address since I don't want spam.",,,,,,,,
503,,,,,,,,,
504,,,,,,,,,
505,,,,,,,,,
507,,,,,,,,,
508,,,,,,,,,
509,,,,,,,,,
510,,,,,,,,,
511,,,,,,,,,
512,,,,,,,,,
513,,,,,,,,,
514,,,,,,,,,
515,,,,,,,,,
516,,,,,,,,,
517,,,,,,,,,
518,,,,,,,,,
519,,,,,,,,,
521,,,,,,,,,
522,,,,,,,,,
523,,,,,,,,,
527,,,,,,,,,
528,,,,,,,,,
529,,,,,,,,,
530,,,,,,,,,
532,,,,,,,,,
533,,,,,,,,,
536,,,,,,,,,
537,,,,,,,,,
538,If the developer of the app was someone I was familiar with,,,,,,,,
539,,,,,,,,,
540,,,,,,,,,
542,,,,,,,,,
543,,,,,,,,,
544,,,,,,,,,
545,,,,,,,,,
547,,,,,,,,,
548,,,,,,,,,
549,,,,,,,,,
550,,,,,,,,,
552,,,,,,,,,
553,,,,,,,,,
554,,,,,,,,,
555,,,,,,,,,
556,,,,,,,,,
557,,,,,,,,,
558,,,,,,,,,
559,,,,,,,,,
561,,,,,,,,,
562,,,,,,,,,
564,,,,,,,,,
566,,,,,,,,,
569,,,,,,,,,
570,,,,,,,,,
574,,,,,,,,,
575,,,,,,,,,
577,,,,,,,,,
580,,,,,,,,,
581,,,,,,,,,
582,,,,,,,,,
583,What information would be passed to google or the third party for the login to happen. If they will keep track of what sites I use it for,,,,,,,,
585,,,,,,,,,
588,,,,,,,,,
589,,,,,,,,,
590,,,,,,,,,
591,,,,,,,,,
592,,,,,,,,,
593,,,,,,,,,
594,If I really need to and want to use my time doing that.,,,,,,,,
595,,,,,,,,,
598,,,,,,,,,
600,,,,,,,,,
595,,,,,,,,,
598,,,,,,,,,
600,,,,,,,,,
